id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,5.935723646540575e-14,3.5280379149810887e-15,3.0194434959529654e-21,3.539453960346386e-16,7.078121725886954e-14,8.93592838613344e-12,6.782644995751985e-23,1.2014330523298752e-19,6.262826616122328e-17,1.3157217503001473e-11,1.3287988764876246e-10,1.035817635998118e-21,2.548710557759614e-17,1.843072886564923e-16,1.7631084309535638e-13,5.625435911500243e-15,9.466482042697066e-10,2.1457644555292077e-23,1.6384456454337365e-14,3.839774422955072e-21,1.2187755145387502e-12,1.847598544426829e-13,1.3632082608057297e-15,3.0410643815779677e-18,1.9677906220774812e-20,7.0928489183342755e-15,3.3900091067629035e-11,1.3009064464363342e-15,1.1259855467673955e-17,7.860675027214883e-18,4.342121657189292e-25,1.6481763509546e-08,3.1244215114439866e-12,8.270225060336145e-10,2.9530713895564143e-18,3.0479663931659573e-12,4.689692211063265e-17,1.0856056390871687e-22,4.6404937184552075e-14,9.691475035031357e-17,1.7322600404280543e-22,2.1290849400341927e-13,1.1052658701804692e-15,4.787855075292254e-21,4.34048838537926e-11,7.433999881700638e-17,5.520347485798993e-07,2.2419349176250337e-21,4.435349682339694e-19,2.0483626239278926e-15,9.782107163340873e-16,0.9999959468841553,1.2200219332689584e-20,1.8157243287034164e-12,5.23191299311998e-12,7.013523095622531e-10,7.466914198062113e-09,1.7653567464071675e-20,2.6221486477437463e-20,1.1805771841774047e-16,1.7199794911013067e-15,5.1864813306731414e-14,1.215397782196743e-16,1.162220656721424e-16,8.553620887141733e-07,1.6626901678390427e-13,5.2714631298316286e-14,1.5498874844900244e-23,2.0288501082571465e-16,3.0239595024658715e-15,6.748212229101504e-17,5.124428161853475e-20,4.6728305252985436e-11,4.8332867107836354e-23,7.863238806748996e-07,1.3075043625576654e-06,1.0961218491513614e-21,8.244135409063436e-12,2.8238176241757174e-07,4.717784234017846e-20,3.3267586276898575e-13,1.1615491496906958e-20,2.560671275993227e-22,1.1692645074390384e-07,8.012560215320264e-08,2.0334453354385727e-23,1.9994600391414357e-25,8.70831133733736e-26,1.2851518071954615e-08,1.5053081254854014e-20,1.1913029539389715e-17,2.008438276530477e-14,1.0004751576780401e-18,3.3442317654269055e-15,3.1274646373300503e-18,5.170870928203604e-19,1.2646042803209182e-24,8.781610993935374e-09,4.769126034414487e-17
7,1.9261283581008086e-15,1.0888189763864908e-13,4.000309458684903e-11,2.2080206552033133e-09,1.3452845936555755e-16,3.473378811132133e-13,4.30671415196926e-10,3.241185336953973e-16,7.146470577288225e-17,5.34542217161014e-16,1.5967402113765236e-19,8.456419396567159e-19,2.3889719361942655e-15,1.0994856247041772e-16,2.247991560695023e-16,1.3424409187631856e-14,8.768473158575696e-17,1.2495891474340048e-11,5.283462720678836e-18,8.777193194475785e-09,7.744972146417293e-17,1.8072770095161602e-16,2.3024064461517418e-17,3.768785086790834e-17,4.99007067441328e-16,1.1661759035384075e-16,1.984738193022348e-13,2.809778451573486e-12,1.4831070450389968e-17,2.20897920837796e-18,5.78679018223803e-14,2.2215145813132744e-15,1.8809590386983932e-13,9.082078339182108e-18,1.3893256662310394e-13,2.488865746501416e-19,6.595471973014355e-07,2.109444888730161e-13,2.4675522042327813e-12,7.085655413102687e-12,2.4158306466404156e-09,1.1173771907735386e-09,4.4125189613275495e-11,2.0824101991390176e-12,5.05890088934452e-15,3.7354244142306925e-08,1.5185727033154223e-18,3.3244992891923175e-07,1.322501542956253e-13,4.714255752943333e-18,0.9999982118606567,1.1154721936784098e-15,8.174215224512373e-15,4.4328294036339493e-16,1.1326370410688104e-14,4.5081303273741824e-11,3.899933977341075e-16,6.740787095171896e-11,6.943016472860108e-08,6.052572505688136e-12,2.1193477528491655e-11,1.2702123017684433e-14,5.844739756035976e-17,1.0267612281233962e-11,5.1933790296590545e-19,2.6124851903707173e-16,2.1808323035406996e-16,1.4008260697251362e-13,6.750076192441057e-11,1.507827249724869e-07,1.714947358214163e-20,9.176494884968503e-17,4.142047863280995e-15,1.6760742529644293e-16,8.967943880713859e-20,5.981498916372797e-16,1.2016970529771243e-08,6.533587147868058e-13,2.841490817935403e-15,2.2708146127370377e-12,2.1218956716614066e-15,1.4528509471867235e-11,3.818677782874147e-07,5.551970775480308e-12,1.0890829349463615e-09,3.8570598104303855e-11,1.2995268923454706e-13,1.4399290648725582e-07,2.8383011135404474e-18,1.1008309064655664e-12,2.3234084944065252e-14,2.8447646532161e-16,1.4916391597334187e-19,2.6205419059494117e-22,2.7846696060152e-09,2.8631476529927813e-12,1.9233505066384993e-10,1.9618254499320978e-16,5.219005024155454e-13
9,6.56299840862129e-12,0.9999953508377075,3.5128489201709245e-14,2.0487041634940933e-16,4.436078597791493e-06,9.55509976696689e-12,1.7201204585595535e-14,1.3550921496019441e-09,1.1148248546533068e-07,9.064303974071208e-09,2.0293753656697167e-12,3.2860761223219015e-08,1.300400759296494e-13,2.529729355681132e-13,1.2358812584434276e-10,4.4591136338922865e-12,2.1439999997596715e-08,4.856865743732477e-16,1.9704920475264315e-14,1.7008297548137818e-10,1.2153607113762899e-11,3.54308901282744e-14,1.505755320004063e-20,1.7407293035323096e-17,8.684820714100454e-18,1.0983020862134069e-13,3.583222829561805e-09,3.3610793640715374e-19,3.692541665975004e-16,3.5202855240999116e-19,5.986708698394003e-16,1.8374055413160772e-17,5.348630392754128e-12,2.7729478869337187e-13,1.804987583477694e-20,7.522767825340893e-11,1.859226359080073e-18,2.1667478873393584e-14,3.487446815673074e-18,6.5716559933615484e-15,1.5673011670840086e-15,1.022746991263812e-12,2.1796447368788695e-16,4.2193275362635614e-18,5.481746783927988e-13,1.0621120164422553e-16,3.694260348764542e-16,1.2144950843617774e-13,3.547451499219534e-10,1.4330722372668525e-11,1.2288622708658565e-14,8.64409943972508e-18,4.732189773086034e-17,6.222373148418586e-14,3.0550330331908376e-14,1.7347896504258113e-17,1.873840492494505e-11,3.390731333132325e-15,1.1292071505554935e-16,4.2118864179963814e-16,1.2263427713642486e-14,3.4487628871464195e-18,2.632797993357941e-15,4.590591619400668e-15,5.679920075940537e-12,3.5503936555579714e-15,9.125193937471352e-16,1.0422515009247245e-18,9.259630506997023e-17,8.126834848420927e-16,1.770552175552276e-16,1.7037899386221985e-15,7.170235145414629e-17,3.6716223811295023e-11,5.5549238819896374e-11,5.143303317967085e-13,3.657675672283649e-16,3.970128550592105e-15,4.551459036050698e-13,6.308593857670397e-18,3.77985576865969e-12,3.1528816228071203e-18,1.2334070261443494e-16,2.2134649731056326e-14,1.1213546584343259e-11,1.7837696597577946e-11,4.453492441509973e-17,4.684006436230371e-16,4.2458319303960435e-14,3.243761812973811e-12,5.35199173929671e-18,3.156993438370448e-13,7.22041919526753e-14,5.968833656228977e-15,2.4379554364878375e-12,3.368351431110028e-11,2.3916226521836233e-19,3.269868371295198e-13,1.3650510766183288e-07
12,2.0254646213285071e-13,6.793668580939993e-05,2.319820767773817e-13,1.1999375356731325e-14,1.1954384964568687e-12,2.0564094369268085e-15,2.3599523046868853e-06,2.326770065508299e-08,2.2427476764619314e-08,3.1501634634167885e-11,4.919344432477893e-18,2.0234145381436974e-07,8.531613815421224e-08,7.171589686549851e-07,1.8274667112905263e-08,6.811150254915077e-11,2.6593446411996013e-15,2.4154251150321215e-05,4.336872217413062e-17,0.9987523555755615,7.840983721682515e-13,2.883286297178378e-18,5.111622152275538e-18,2.2777195716423417e-18,7.155590342803296e-16,3.619266318089525e-18,7.857729744653597e-11,1.3269866099074482e-18,2.6526725816992333e-19,6.2506932827432165e-18,1.9392031925559439e-13,4.119601465466735e-20,1.0897221710062799e-12,2.0171398459976203e-14,1.4394621253454796e-20,1.9269594562407427e-16,2.632481559128319e-11,1.4743364862290775e-10,7.009128982538493e-18,3.820185593746511e-18,3.802677357028772e-12,5.352650944701054e-08,1.6278021099982027e-16,2.239836962753569e-15,7.982589741127588e-13,1.2778071656338597e-10,1.0637083592191969e-18,0.0009845596505329013,1.8130568832930294e-06,8.571119617002687e-15,9.31715149476986e-10,9.798927326886128e-19,3.3575133775651245e-13,1.0560931300209863e-14,4.947765282990419e-17,3.7513768391890837e-16,3.5271838278375705e-17,8.82108219801836e-10,4.483955429179787e-09,2.7722742924527442e-14,4.047007683399134e-13,6.884499644199084e-19,1.6785101954186477e-12,2.5240423900257936e-12,2.9678779804237563e-16,1.2355838161154983e-14,1.715847876142837e-17,1.4764616395809838e-13,9.865673104576377e-15,6.9496347051948865e-15,1.538932968271833e-17,2.0819251609683655e-14,8.823166671549948e-18,1.1573274456833094e-11,1.6539913099361216e-16,9.003166797669652e-17,1.594372420546386e-13,9.71955046828732e-13,1.6132210042645034e-14,1.0082368967490041e-10,4.0279584112568045e-08,4.0686617757638294e-14,1.1226921259321898e-07,4.061533569996211e-15,3.962584600725183e-12,1.196630591948633e-06,4.682693035412688e-12,5.850921414030097e-10,5.1304368716164245e-17,2.7681443803828643e-09,6.396508267533758e-18,7.999363671462589e-11,6.423782675495787e-15,7.972591736912695e-17,2.5542283765389584e-05,0.0001375032588839531,4.580095610634766e-15,6.208261494814035e-15,1.293269178859191e-06
13,1.6376852131350095e-12,2.3406312998908163e-10,8.305214528754616e-20,1.1348554044758016e-18,5.843252270931742e-11,1.4338984012704622e-16,4.1056421500387796e-13,3.905336069722626e-13,2.5539358716741845e-07,8.086876307489277e-11,5.4596901137441214e-14,2.2483563952846453e-06,7.41878364296511e-11,4.835422062754446e-10,0.9999961853027344,1.2392887551674475e-13,1.5064177460999417e-08,1.0220608539189546e-13,4.032697353134607e-12,9.925445339752093e-14,4.107324480528973e-10,2.811719509459691e-19,6.176842845808666e-17,1.0531184698998663e-19,1.410075334931139e-15,3.7905328231477104e-18,1.0816144424552476e-08,3.1718705877440407e-19,6.328842618680236e-19,2.7037228329185747e-21,5.14519201081569e-20,1.4954755006298175e-20,3.1358040654706568e-18,3.1870258385482964e-15,1.7044540503597706e-23,3.621822459998203e-12,1.7818342242757847e-17,1.4113930005597115e-16,2.743489258139313e-17,4.0641740232461816e-22,1.964441623686256e-17,2.9545555455326444e-13,3.31357127956532e-19,1.2463206786999517e-15,1.566173914461979e-14,3.023332937967281e-18,7.19473491166947e-17,4.079424298364387e-12,1.4998667197119175e-08,1.643380542759587e-08,1.3449016255755757e-17,1.5694428634213615e-17,1.0772107625388674e-15,1.0206387872444683e-13,4.806144352059705e-18,3.0093396786410863e-19,2.37322267144114e-14,2.1537530043241144e-15,2.2340356340978243e-16,7.358308091091708e-16,3.3981003080152004e-16,5.517672603871055e-19,1.206908108609267e-13,4.314392132399522e-14,1.6414559327656425e-13,1.6308110621944256e-17,1.3033990791116464e-17,3.08943635283642e-19,3.274142423198273e-19,2.5742714726632682e-18,1.6280769986593664e-16,2.837999475181763e-13,8.407065044933723e-18,2.3680452672543428e-14,2.1453935850068717e-11,3.5415740435792986e-13,8.520715525195446e-18,1.1394380231011247e-11,7.924454495378264e-12,4.636296776080681e-16,2.3079542443849022e-10,3.098534564092679e-20,9.34734315096537e-15,4.804634880055392e-13,6.439483278206093e-14,6.0474971825240104e-15,2.9199626500865607e-16,4.69858802156339e-19,6.408312465747135e-14,1.817697381500949e-11,7.205902480664152e-20,1.776889857474373e-09,2.8749809336588855e-14,8.021357189580414e-11,6.113799137091869e-12,1.159209432444186e-06,3.5630890188722337e-19,2.0938575526208147e-11,1.745003555715663e-12
16,6.641879934932149e-08,3.85344464670645e-11,2.6836270983210397e-09,0.9971134662628174,2.074075286517818e-12,1.4671135129245422e-13,5.0686480790318456e-08,2.829226630751691e-08,9.617085600099884e-11,1.5689953134466472e-13,3.5602565340298042e-09,1.2207317622026093e-11,8.436161920144514e-07,5.000395930654378e-11,1.347803466056341e-11,8.333182234532277e-12,5.135726479504887e-12,7.510469458793523e-06,2.0938863087849313e-08,4.070158183822059e-07,1.1726146095791812e-11,1.181146218158513e-12,2.0000808734904618e-13,6.453582243257094e-13,2.448877767236013e-09,3.640015511230388e-10,4.3193555399057004e-09,5.505300659791601e-09,2.6614899520382984e-12,1.1860007096688944e-14,9.479438745074731e-08,5.625456211966195e-10,7.338175578297523e-08,6.462602588491739e-12,1.6879475595033e-10,8.638648065113774e-13,3.140598892059643e-08,2.595771098068411e-10,1.3843577326144718e-11,9.159863839647286e-11,1.0692082952346027e-07,1.6077436271189072e-07,1.5099622663328205e-09,3.161172571708448e-05,5.830640859016967e-08,6.783610388083616e-06,4.566616616102914e-12,3.080037913605338e-07,4.133540176809447e-09,6.822559850405696e-09,5.3331128583522514e-05,9.028066922517342e-13,7.512618140026461e-06,1.750727618432535e-10,3.18381145015742e-13,2.561656997634998e-10,2.099587864679009e-13,1.9809219509170362e-07,0.0005802966188639402,5.598198987710745e-12,5.934602449997328e-05,4.222785315866062e-12,2.1816840956034866e-07,4.21854530474608e-11,7.550904888332932e-13,6.975236743755886e-08,7.44300801547304e-12,3.560078620790108e-10,6.084011374696274e-07,1.1472861842776183e-06,5.950500644525195e-14,2.3373586399699775e-10,2.7357321052620676e-13,1.4246500867898249e-08,2.5455301793297566e-14,1.5358563032474848e-10,4.29437712057279e-08,7.39395558668754e-11,8.57127005005412e-14,2.661527105374262e-07,2.217788669725551e-13,1.8632357750902884e-05,1.4088979582993488e-07,8.598534662063173e-10,1.947587868755818e-09,3.580681004677899e-05,0.002017291495576501,3.794743363982889e-08,2.426777312089512e-13,1.0267317520629149e-05,3.8086312770246877e-07,1.4408209381144843e-06,8.68629501660223e-10,3.036364779399059e-12,4.8856953071663156e-05,1.9780223681209463e-07,1.2170498848718125e-06,1.7046756228822346e-09,1.0651257298377459e-06
19,1.2060478171704858e-09,2.1961143840953934e-12,7.152765879592238e-11,0.9999983310699463,3.129255015172001e-15,5.170302662567405e-15,1.187910360356259e-11,1.0136185510725704e-12,5.630239858860596e-14,1.0224519883230082e-15,1.6346436357284055e-11,9.427537054037855e-16,8.381201510587744e-09,2.648550688594503e-15,1.4082991068407468e-15,1.506341709353598e-14,1.1039291463105835e-14,4.096784370077877e-11,1.6091957410688251e-12,1.0081560031238723e-09,1.75176355626111e-12,9.781600171770294e-14,3.414035446207667e-17,1.8788903809532909e-13,1.8542090605977446e-12,4.044036373135329e-12,6.854246174543138e-14,2.887832117534628e-13,2.3163291624399632e-14,2.9972082961674494e-15,1.069065322378826e-10,2.966299081363921e-11,4.4581556224443375e-09,1.6332235179073243e-14,1.5557574759711423e-13,4.080101855689005e-16,7.116690570185824e-11,1.6733701230231546e-11,1.128106505779436e-12,2.0086539376240609e-10,4.87524907596959e-12,2.733529624876496e-09,1.0537910469362796e-13,2.298939510980702e-10,1.4323495514667606e-11,5.067330732799746e-08,7.51461813239783e-14,3.762404970908406e-11,3.064470335475966e-12,4.574446154986464e-14,6.578104603249812e-07,3.3804949399647566e-14,9.450736859761832e-10,1.0682815309442928e-12,1.5712106095355782e-13,3.5734307179957625e-10,3.696599165550589e-15,3.816727316141577e-12,1.7677942665272894e-08,6.932370394960655e-14,5.174496777726745e-07,5.49553451519285e-15,1.5106186700836188e-12,1.927878116411599e-15,1.3445115755060435e-14,2.582458691335887e-08,5.901200192973089e-16,3.643122587458636e-15,6.24104714574969e-08,2.5498065880924514e-09,4.33232206229953e-17,6.039121974851444e-14,6.624098873620496e-16,1.3371870275012514e-14,7.454918948519859e-17,3.448466555713847e-13,8.258895234369845e-10,3.7991616417491075e-14,6.432821496424836e-17,1.328187004823178e-09,8.145725271331474e-17,1.5303596612170622e-08,8.068708895470067e-12,2.2347893663659385e-13,6.173709876655664e-10,1.2317460118538293e-07,3.3521050379903272e-09,4.908114470403291e-10,5.91702078319433e-17,4.017869370542826e-10,2.9782110111398197e-10,1.178401265455875e-10,6.960591499884095e-14,1.5979196081822387e-15,1.9277443641385617e-07,6.74600241119816e-13,1.1948376732462407e-09,2.6054744299564003e-12,5.623527954412566e-08
23,8.604691132592401e-16,3.5204822455663087e-13,1.8216812502913626e-09,2.1715369086239278e-11,6.0602686063893074e-12,2.1953313989797607e-05,1.9089974045982672e-08,7.98282304788258e-15,9.16817146277275e-17,7.658877330084246e-13,6.393752763477221e-17,5.210098411728703e-12,1.872959252968709e-16,7.046096426590806e-14,5.243934389639274e-16,9.65805725172686e-07,2.061133495183601e-18,4.619673987424876e-14,5.2937532829533396e-11,6.006462688334935e-11,6.730534532484178e-12,1.68299407743433e-09,1.3752396998967242e-09,7.510130473065146e-08,6.221143422635578e-08,3.0953092866603527e-10,3.6213403411266035e-16,2.2878525246169956e-13,0.9998880624771118,3.292925248388201e-05,5.428690565167926e-05,4.7218536047312354e-14,3.635927392497962e-10,2.5109739287820787e-10,6.076233266538722e-11,4.465806058284727e-10,1.4885926692687068e-12,3.590118424767752e-08,4.433358541389154e-11,6.53710308107236e-10,1.4678709975486127e-14,5.504945913159044e-19,3.8647740563391153e-10,6.490144251018737e-13,4.0792825524828616e-14,2.626284606455087e-13,2.1442703434246604e-14,3.112145076692406e-14,1.618138072874962e-15,1.3021959482194105e-15,3.8073527891622355e-14,4.874488399725374e-12,7.539110308263375e-11,1.6370296773964704e-13,2.624940195761205e-11,3.100951460055512e-07,1.8262193840490326e-11,1.3486131482387531e-11,5.917094236832724e-16,2.4321519733090657e-13,3.9292008535696255e-10,8.543066254418363e-10,1.013654264692132e-11,7.599188747882402e-13,6.720964496748083e-12,4.272976937558237e-12,1.7543339003722735e-10,6.258486173749134e-09,1.7279987163387744e-10,1.1328872915328247e-06,1.592975564790322e-07,1.8758752884373564e-10,4.655178742485333e-10,1.622671597090175e-08,1.7154227714824338e-16,6.42728939189742e-14,3.705452958358002e-11,9.154914673570325e-12,1.8513348406384855e-14,1.5801705499640661e-09,1.7724532952456684e-09,1.2836352814016294e-10,1.6192010568721188e-14,1.9499492539182045e-15,7.244584706439516e-14,2.4873342724688816e-15,1.4339758764095323e-12,1.848911468371739e-09,1.5850270043953757e-13,1.0226679393729107e-13,2.2615171183220512e-13,6.0855802073490374e-15,3.468983997625963e-13,1.4735296858560398e-13,5.887750004602406e-18,3.37976237557939e-17,1.4364829326041217e-09,1.2210992139042708e-15,3.837553830265961e-09
24,1.9310557597407296e-09,3.322102315461706e-11,1.0819804050648564e-14,7.056293917229173e-12,2.0898985667039405e-12,2.5980708903694527e-11,1.4794552742451467e-15,2.136104014076887e-15,3.0708344755936423e-09,4.392883192622099e-12,2.417536656973418e-12,6.266313761430668e-18,1.838474635861855e-15,9.920433996374605e-17,5.062925142876925e-15,1.105697998438071e-12,1.1546998912592699e-08,8.51052383286818e-16,1.5418968225810596e-16,1.3212331619397166e-13,7.355881528892105e-12,1.372266113506312e-15,1.6364429420745082e-19,3.3330886234893015e-15,3.3163041809116186e-18,1.7128757434100401e-15,5.334073569125686e-13,8.178039408862636e-14,6.988894490394221e-19,5.003155215865991e-16,1.3616257544856895e-19,5.199163322089362e-09,6.106719574461295e-10,8.714124040409832e-12,9.136421782703682e-15,2.670081630838997e-15,2.8133387546674937e-12,4.725132503151375e-13,8.311773036333292e-13,4.595984010036247e-11,7.191206722982624e-14,1.623867290634351e-10,3.8061765653303603e-13,6.035066322204731e-18,4.679503312621236e-11,1.0640262282368695e-10,6.236463774430222e-16,1.2905325374697792e-14,6.767367085110272e-17,7.307202887614711e-16,8.102430944061101e-13,8.269186446696608e-10,5.463342864250689e-19,2.947861185673096e-18,5.594772895293164e-14,1.984635735917048e-13,4.388101034760798e-16,6.9223632089086135e-15,2.68325747905529e-12,4.2595056370942075e-09,8.194870969964116e-14,2.2763531883844123e-15,3.216641366167198e-17,1.2918470055489758e-15,4.038195125510846e-11,7.277421395536499e-13,3.348594871842882e-17,3.9857390208077345e-19,4.142788976452261e-12,1.051440401758641e-12,1.5884458490696647e-17,6.270361503583747e-16,3.244129574350718e-12,1.111665861291972e-19,7.677788960158693e-12,3.740670967422588e-12,5.046766295342155e-15,5.83572795122278e-13,2.0895338237458816e-10,3.028507275299239e-16,2.61330840051633e-15,1.3683567388173782e-14,2.0933751829427596e-14,1.2958277680052976e-11,1.0,1.3476454068284713e-15,7.85104261237928e-22,1.1400889762114246e-17,1.1588835851372584e-15,9.8929794477981e-13,3.8094425888497013e-14,2.56513816620157e-16,9.398140246207802e-17,1.060780785051637e-16,1.3469068083082902e-09,1.3726078108323991e-13,2.877464083039347e-19,7.974243552803795e-13,3.5852908835892565e-16
28,3.226746159157301e-08,2.8857082057243133e-08,2.1364655118569074e-16,2.3103348661263068e-12,5.054107479751657e-11,5.902752380848933e-16,9.798281977446699e-12,1.966007090459243e-07,0.9999980926513672,9.669580674359635e-13,8.20233103659973e-10,8.792821470926526e-10,5.2348990919881544e-08,6.486641085379219e-12,8.458295730484622e-10,3.412094825433476e-13,2.48569803629195e-10,1.9908145965086277e-10,8.578765783417552e-15,4.496864824954372e-10,3.342384008453436e-11,1.7535418607617826e-19,6.854743146443938e-21,2.283405973064549e-19,1.928346439604647e-17,5.4548177340625644e-18,3.270658917309266e-12,5.489651989867792e-20,5.207543463673259e-19,1.646727737457126e-20,1.0310877142133925e-16,4.3257155361831916e-17,1.6450030226877743e-10,1.558273367112395e-12,2.198408778805657e-21,7.295821932706836e-13,1.5866191654434486e-18,8.342470187968146e-14,2.2099303626848194e-19,2.036420026817507e-18,5.289255416877708e-16,3.475303725353207e-11,1.1154162630341115e-16,3.5916591651455675e-18,4.592995428431834e-11,3.3146432105134183e-13,1.211373449254999e-16,4.155504336900845e-13,3.225559402908473e-11,1.2413418903900464e-10,7.167112637863915e-16,3.0038071328128136e-18,8.931196711012279e-15,3.132289553057187e-14,5.02094297393278e-17,9.11467272947527e-17,3.122753719664469e-16,1.374071331299324e-14,3.08045472810492e-13,1.5371202185030354e-15,6.8076757948833284e-15,1.3712351375111122e-19,3.3924741034213005e-15,7.466728440689156e-17,1.695718001779034e-12,3.658835658493925e-13,9.922523620038036e-19,7.378858450424689e-19,9.630140982273979e-16,9.901067223310345e-15,1.8124677002088285e-17,3.0738605427292273e-15,2.4813110542681807e-18,5.0680095428461136e-14,6.21932030615141e-13,2.2321339180762963e-14,5.828685834707547e-17,6.509246499928733e-16,3.5065259886262606e-14,6.408452226183432e-16,2.2716329685368297e-12,1.7382275454004797e-15,2.285630994365573e-13,1.0386511800370563e-13,2.5211572829419993e-09,4.240134285349306e-12,2.341506030950971e-14,6.97807314818468e-17,1.4154127012900252e-16,3.7241818517941283e-09,5.34725970371009e-15,2.4651444080481255e-11,1.4222785275908034e-12,6.224785964459301e-11,1.6146021835083957e-06,1.4016886262790962e-10,7.087892564703819e-21,6.369314645339073e-15,5.252150710871595e-12
